ID,Modul,Fitur,Skenario Uji,Langkah Pengujian,Hasil yang Diharapkan,Status,Keterangan
AUTH-01,Autentikasi,Registrasi Akun Customer,Daftar akun baru dengan form email dan password,Buka /daftar -> isi nama email password -> submit,Akun terdaftar dan otomatis login atau diarahkan ke halaman login,DONE,
AUTH-02,Autentikasi,Login Customer Biasa,Login customer dengan kredensial yang valid,Buka /masuk -> isi email & password customer -> klik Masuk,Berhasil login dan diarahkan ke beranda (/),DONE,
AUTH-03,Autentikasi,Login Admin / Pengurus,Login pengurus dengan akses admin,Buka /masuk?callbackUrl=/admin -> login akun admin,Berhasil login dan langsung diarahkan ke panel /admin,DONE,
AUTH-04,Autentikasi,Google OAuth Login,Login menggunakan tombol Masuk dengan Google,Klik tombol 'Masuk dengan Google' di halaman /masuk,Membuka consent screen Google dan login sukses,DONE,
AUTH-05,Autentikasi,Auto-Trim Input,Mencegah gagal login akibat spasi tak sengaja di awal/akhir input,Ketik email atau password dengan spasi di ujung -> submit,Sistem otomatis membersihkan spasi (trim) dan login berhasil,DONE,
AUTH-06,Autentikasi,Proteksi Brute Force,Rate limiting percobaan login gagal berulang kali,Coba masukkan password salah berturut-turut > 5 kali,Muncul peringatan rate limit dan login diblokir sementara,DONE,
AUTH-07,Autentikasi,Logout Sesi,Keluar dari akun pengguna,Klik avatar/menu profil -> pilih Keluar / Logout,Sesi terhapus dan kembali ke tampilan tamu publik,DONE,
AUTH-08,Otorisasi,Akses Guard Admin oleh Customer,Customer mencoba membuka URL /admin langsung,Login akun customer -> ketik URL http://.../admin di address bar,Customer ditolak dan dialihkan aman ke beranda (/) tanpa looping reload,DONE,
AUTH-09,Otorisasi,Akses Guard Sayembara Admin,Customer mencoba membuka /admin/sayembara,Login customer -> akses /admin/sayembara,Dialihkan ke beranda (/) tanpa error,DONE,
AUTH-10,Otorisasi,Akses Admin oleh Tamu (Unauthenticated),Pengunjung tanpa login membuka /admin,Buka jendela incognito -> akses /admin,Diarahkan ke /masuk?callbackUrl=/admin,DONE,
STR-01,Storefront,Tampilan Beranda (Desktop),Verifikasi layout tema Obsidian-Gold & Hero,Buka halaman utama (/) di laptop 100% zoom,Hero tampil proporsional tidak kepotong batiknya tampak elegan countdown rapi,DONE,
STR-02,Storefront,Tampilan Beranda (Mobile),Responsivitas beranda di layar HP,Buka / di browser smartphone atau Chrome Device Mode,Header navigasi rapi marquee strip smooth logo dan tombol proporsional,DONE,
STR-03,Storefront,Navigasi Kategori & Filter,Menjelajahi produk berdasarkan kategori,Klik menu Kategori atau tombol kategori di beranda,Halaman katalog menampilkan produk sesuai kategori yang dipilih,DONE,
STR-04,Storefront,Pencarian & Pengurutan Produk,Filter sort harga / nama / terbaru,Buka katalog produk -> ubah opsi pengurutan (Termurah/Termahal),Daftar produk berubah urutan secara akurat,DONE,
STR-05,Storefront,Detail Produk & Pemilihan Varian,Memilih ukuran/warna dan melihat stok kuota,Klik salah satu produk pre-order -> pilih ukuran/varian,Harga dan status kuota varian berubah sesuai pilihan,DONE,
STR-06,Storefront,Tambah ke Keranjang,Menambahkan produk ke cart,Pilih produk dan varian -> klik 'Tambah ke Keranjang',Badge keranjang bertambah dan toast konfirmasi muncul,DONE,
STR-07,Storefront,Sinkronisasi Keranjang Tamu ke Akun,Keranjang lokal tersinkron saat user login,Tambah produk saat belum login -> kemudian login akun,Item keranjang tetap ada dan terikat ke user tersebut,DONE,
STR-08,Storefront,Halaman Keranjang Belanja,Mengubah jumlah qty dan menghapus item,Buka /keranjang -> ubah qty -> hapus salah satu item,Subtotal otomatis terhitung ulang secara real-time,DONE,
ORD-01,Checkout,Validasi Form Checkout,Submit form checkout dengan data kosong / tidak lengkap,Buka /checkout tanpa mengisi nama atau alamat -> klik Lanjut,Form menampilkan pesan validasi berbahasa Indonesia yang jelas,DONE,
ORD-02,Checkout,Syarat & Ketentuan Transaksi,Membaca dan menyetujui S&K transaksi PO,Klik link 'Syarat & Ketentuan' di halaman checkout,Modal dialog S&K terbuka dan checkbox persetujuan bisa dicentang,DONE,
ORD-03,Checkout,Pembuatan Invoice Duitku,Membuat pesanan dan mengarahkan ke pembayaran Duitku,Isi data diri lengkap -> centang S&K -> klik 'Bayar Sekarang',Sistem berhasil memanggil Duitku API dan mengarahkan ke payment page Duitku,DONE,
ORD-04,Pembayaran,Pembayaran VA / QRIS Sandbox Duitku,Simulasi pembayaran sukses lewat demo simulator Duitku,Salin nomor VA/transaksi -> buka simulator Duitku -> lakukan bayar,Webhook menerima callback (POST /api/duitku/callback -> 200 OK),DONE,
ORD-05,Pembayaran,Halaman Status Pesanan,Melihat status pesanan yang telah dibayar,Buka link /pesanan/[orderNumber] setelah bayar,Status berubah dari 'MENUNGGU_PEMBAYARAN' menjadi 'DIBAYAR' / 'DIPROSES',DONE,
ORD-06,Pembayaran,Proteksi Kuota & Atomisitas,Pencegahan overselling saat rush pre-order,Buat pesanan untuk stok terakhir produk,Sistem mengunci kuota dan mencegah pesanan lain melebihi sisa kuota,DONE,
ORD-07,Pembayaran,Cron Expire Order,Pelepasan kuota pesanan yang hangus/tidak dibayar,Panggil endpoint /api/cron/expire-orders dengan Bearer token,Pesanan yang melebihi batas waktu dibatalkan dan kuota dikembalikan ke etalase,DONE,
SAY-01,Sayembara,Lifecycle Sayembara (Fase),Perubahan tampilan otomatis berdasarkan timeline fase,Cek sayembara pada tanggal SUBMISSION REVIEW VOTING dan FINISHED,UI /sayembara otomatis berubah komponen (Form -> Info Review -> Gallery -> Hasil),DONE,
SAY-02,Sayembara,Unggah 2 Foto Desain,Kirim karya sayembara dengan foto utama dan foto mockup ke-2,Isi judul deskripsi departemen angkatan upload foto 1 & foto 2 -> submit,Form tervalidasi kedua foto tersimpan di database dan file tersimpan di /uploads,DONE,
SAY-03,Sayembara,Validasi Form Pengajuan Desain,Pengecekan minimal karakter deskripsi (20 char) dan format angkatan 4 digit,Masukkan deskripsi < 20 karakter atau angkatan salah,Muncul indikator live counter karakter dan error validasi yang jelas,DONE,
SAY-04,Sayembara,Rule 1 Akun 1 Desain Aktif,Mencegah submit lebih dari 1 desain aktif di contest yang sama,Coba submit karya kedua saat karya pertama masih PENDING atau APPROVED,Form terkunci dengan banner informasi status karya aktif user,DONE,
SAY-05,Sayembara,Pengajuan Ulang Desain yang Ditolak,User mengajukan revisi jika karya sebelumnya di-reject admin,Admin me-reject karya dengan alasan -> user buka /sayembara,User melihat alasan penolakan dan tombol 'Ajukan Ulang Desain' aktif,DONE,
